date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2023-03-26,85.0,3,1,2023,12,4,230.0,110.0,304.0,261.0,122.3819158753989,253.625,150.3747105447872,345.6666666666667,359.09465283817497,-0.6304347826086957
2023-04-02,120.0,4,2,2023,13,1,85.0,230.0,400.0,206.25,143.83874072492858,199.375,115.11104886772821,348.1666666666667,356.98531503622786,0.41176470588235303
2023-04-09,410.0,4,2,2023,14,2,120.0,85.0,110.0,136.25,64.20994211698516,188.125,118.27865101409562,298.5833333333333,342.4264906737666,2.4166666666666665
2023-04-16,190.0,4,2,2023,15,3,410.0,120.0,230.0,211.25,146.19479014885096,214.875,142.11206593992728,327.75,335.0845551363249,-0.5365853658536586
2023-04-23,60.0,4,2,2023,16,4,190.0,410.0,85.0,201.25,145.85237970861692,231.125,128.66949632960504,236.16666666666666,144.41784914446944,-0.6842105263157895
2023-04-30,264.0,4,2,2023,17,5,60.0,190.0,120.0,195.0,152.86159317064104,200.625,137.54057842791582,197.91666666666666,121.69444473264755,3.4000000000000004
2023-05-07,178.0,5,2,2023,18,1,264.0,60.0,410.0,231.0,146.11867323058527,183.625,116.11316831928579,202.41666666666666,123.17132069773295,-0.3257575757575758
2023-05-14,135.0,5,2,2023,19,2,178.0,264.0,190.0,173.0,84.38799282678339,192.125,112.38255774680619,200.91666666666666,123.36601737279102,-0.2415730337078652
2023-05-21,190.0,5,2,2023,20,3,135.0,178.0,60.0,159.25,85.17188503256175,180.25,112.82698512070819,207.16666666666666,117.3300188925787,0.40740740740740744
2023-05-28,540.0,5,2,2023,21,4,190.0,135.0,264.0,191.75,53.643110772337195,193.375,106.06862670662099,197.66666666666666,113.32361812191647,1.8421052631578947
2023-06-04,90.0,6,2,2023,22,1,540.0,190.0,178.0,260.75,187.65815552043887,245.875,156.51055418542398,209.33333333333334,140.09239375454447,-0.8333333333333334
2023-06-11,880.0,6,2,2023,23,2,90.0,540.0,135.0,238.75,204.9542631905955,205.875,149.29782076679564,207.66666666666666,141.4935484127237,8.777777777777779
2023-06-18,135.0,6,2,2023,24,3,880.0,90.0,190.0,425.0,359.4903800289142,292.125,280.48653520012584,261.8333333333333,240.5580003141677,-0.8465909090909091
2023-06-25,183.27,6,2,2023,25,4,135.0,880.0,540.0,411.25,372.298603274307,301.5,272.76677635979473,266.0,237.63187726167695,0.3575555555555556
2023-07-02,50.0,7,3,2023,26,1,183.27,135.0,90.0,322.0675,373.89971680251364,291.40875,275.82847058258614,271.2725,234.78281295021958,-0.7271784798384897
2023-07-09,720.0,7,3,2023,27,2,50.0,183.27,880.0,312.0675,382.60876217314546,275.40875,286.83944147192966,241.2725,238.41691173713392,13.4
2023-07-16,534.0,7,3,2023,28,3,720.0,50.0,135.0,272.0675,303.660992267693,348.53375,318.72663920838414,285.43916666666667,274.42695310437557,-0.2583333333333333
2023-07-23,500.0,7,3,2023,29,4,534.0,720.0,183.27,371.8175,309.1121046238724,391.53375,317.48553933042155,324.93916666666667,273.1380517566601,-0.06367041198501877
2023-07-30,80.0,7,3,2023,30,5,500.0,534.0,50.0,451.0,284.283895663003,386.53375,315.11951786754105,344.60583333333335,276.8228393907068,-0.84
2023-08-06,380.0,8,3,2023,31,1,80.0,500.0,720.0,458.5,270.2264482491179,385.28375,316.48072583774484,336.43916666666667,283.5486391643758,3.75
2023-08-13,95.0,8,3,2023,32,2,380.0,80.0,534.0,373.5,206.51634317893553,322.78375,246.44735711057194,356.85583333333335,276.45743770584016,-0.75
2023-08-20,10.0,8,3,2023,33,3,95.0,380.0,500.0,263.75,209.41883869413448,317.78375,251.16209870676303,348.9391666666667,282.9538009980465,-0.8947368421052632
2023-08-27,88.0,8,3,2023,34,4,10.0,95.0,80.0,141.25,163.42046995404203,296.125,271.0985258430701,304.7725,291.650253155914,7.800000000000001
2023-09-03,165.0,9,3,2023,35,1,88.0,10.0,380.0,143.25,162.4671761720911,300.875,266.4633115994986,304.60583333333335,291.7846853249004,0.875
2023-09-10,35.0,9,3,2023,36,2,165.0,88.0,95.0,89.5,63.38506659037787,231.5,207.47185695551923,245.0225,230.08508047419707,-0.7878787878787878
2023-09-17,563.0,9,3,2023,37,3,35.0,165.0,10.0,74.5,68.5395263090331,169.125,176.186944140916,236.68916666666667,236.162839331382,15.085714285714285
2023-09-24,179.0,9,3,2023,38,4,563.0,35.0,88.0,212.75,239.5222675800031,177.0,193.632936985716,268.3333333333333,253.18169305257692,-0.6820603907637656
2023-10-01,55.0,10,4,2023,39,1,179.0,563.0,165.0,235.5,227.75644886588813,189.375,189.67109690197918,279.0833333333333,245.69658240614623,-0.6927374301675977
2023-10-08,400.5,10,4,2023,40,2,55.0,179.0,35.0,208.0,245.0877393914268,148.75,177.41859300213466,223.66666666666666,209.54250310154293,6.281818181818182
2023-10-15,136.5,10,4,2023,41,3,400.5,55.0,563.0,299.375,226.51982069273006,186.9375,196.09189491154393,212.54166666666666,194.5780350975509,-0.6591760299625469
2023-10-22,80.0,10,4,2023,42,4,136.5,400.5,179.0,192.75,147.74781442263912,202.75,184.54616147263997,182.25,172.83879772782342,-0.4139194139194139
2023-10-29,390.0,10,4,2023,43,5,80.0,136.5,55.0,168.0,158.70465231576114,201.75,185.27701268255439,182.25,172.83879772782342,3.875
